name,title,file,id
Funky Destination,Vintage Satisfaction,Funky Destination_Vintage Satisfaction.npy,34
Frankie Cosmos,Too Dark,Frankie Cosmos_Too Dark.npy,35
Evelyn  Champagne  King,If You Want My Lovin_,Evelyn  Champagne  King_If You Want My Lovin_.npy,36
Victor Manuel,Quiero Abrazarte Tanto,Victor Manuel_Quiero Abrazarte Tanto.npy,37
Andy Williams,Historia de un Amor,Andy Williams_Historia de un Amor.npy,38
Wolfgang Petry,Ganz oder gar nicht,Wolfgang Petry_Ganz oder gar nicht.npy,39
Beth Hart,Bang Bang Boom Boom,Beth Hart_Bang Bang Boom Boom.npy,40
Phil Coulter,Steal Away,Phil Coulter_Steal Away.npy,41
Stephen Bishop,Save It For A Rainy Day,Stephen Bishop_Save It For A Rainy Day.npy,42
Annette Moreno,Guardían De Mi Corazon (En Vivo),Annette Moreno_Guardían De Mi Corazon (En Vivo).npy,43
Melissa Manchester,Thief Of Hearts,Melissa Manchester_Thief Of Hearts.npy,44
Peter Kater,Wings Of Love,Peter Kater_Wings Of Love.npy,45
Stephin Merritt,The Man of a Million Faces,Stephin Merritt_The Man of a Million Faces.npy,46
Gisselle,Me Pasa Lo Mismo,Gisselle_Me Pasa Lo Mismo.npy,47
Ellis Paul,55,Ellis Paul_55.npy,48
Annette Moreno,El Amor Que Me Das,Annette Moreno_El Amor Que Me Das.npy,43
Nelly Omar,Amar y callar,Nelly Omar_Amar y callar.npy,49
Colin Hay,Waiting For My Real Life To Begin,Colin Hay_Waiting For My Real Life To Begin.npy,50
Desert Dwellers,Breathing the Mysteries,Desert Dwellers_Breathing the Mysteries.npy,51
Andrea Berg,Ich liebe das Leben,Andrea Berg_Ich liebe das Leben.npy,52
Pieta Brown,El Guero,Pieta Brown_El Guero.npy,53
Greg Brown,Just By Myself,Greg Brown_Just By Myself.npy,54
Ernest Ranglin,Psychedelic Rock,Ernest Ranglin_Psychedelic Rock.npy,55
Kenny Baker,Bluegrass In The Backwoods,Kenny Baker_Bluegrass In The Backwoods.npy,56
Jim Lauderdale,Game Changer,Jim Lauderdale_Game Changer.npy,57
Kina Grannis,You Are My Sunshine,Kina Grannis_You Are My Sunshine.npy,7
Adam Lambert,Better Than I Know Myself,Adam Lambert_Better Than I Know Myself.npy,58
Roger Waters,Mother,Roger Waters_Mother.npy,59
Boosie Badazz,My Struggle,Boosie Badazz_My Struggle.npy,60
Guy Sebastian,Believer,Guy Sebastian_Believer.npy,61
John Carpenter,The Shape Stalks Again,John Carpenter_The Shape Stalks Again.npy,62
Leonard Cohen,In My Secret Life,Leonard Cohen_In My Secret Life.npy,63
黃鶯鶯,我心深處,黃鶯鶯_我心深處.npy,64
SEKAI NO OWARI,Dead End,SEKAI NO OWARI_Dead End.npy,65
Patti Smith,Free Money,Patti Smith_Free Money.npy,66
Benito Lertxundi,Baldorba,Benito Lertxundi_Baldorba.npy,67
Gary Valenciano,Natutulog Ba Ang Diyos_,Gary Valenciano_Natutulog Ba Ang Diyos_.npy,68
Sufjan Stevens,Death with Dignity,Sufjan Stevens_Death with Dignity.npy,69
Peter Alexander,Hier ist ein Mensch,Peter Alexander_Hier ist ein Mensch.npy,70
Lil, Boosie_Crazy,Lil_ Boosie_Crazy.npy,71
Ben Sidran,Chances Are,Ben Sidran_Chances Are.npy,72
Sarah Vaughan,A Lover_s Concerto,Sarah Vaughan_A Lover_s Concerto.npy,73
Jerry Rivera,Vuela Muy Alto,Jerry Rivera_Vuela Muy Alto.npy,74
Tinsley Ellis,Windowpane,Tinsley Ellis_Windowpane.npy,75
Ogie Alcasid,Ikaw Sana (Original Movie Soundtrack from _Kunwari...Mahal Kita_),Ogie Alcasid_Ikaw Sana (Original Movie Soundtrack from _Kunwari...Mahal Kita_).npy,76
Nelly Omar,Tu Vuelta,Nelly Omar_Tu Vuelta.npy,49
Nils Lofgren,No Mercy,Nils Lofgren_No Mercy.npy,77
Ana Belén,Vuelo Blanco de Gaviota (Days of Pearly Spencer),Ana Belén_Vuelo Blanco de Gaviota (Days of Pearly Spencer).npy,78
Future,PUFFIN ON ZOOTIEZ,Future_PUFFIN ON ZOOTIEZ.npy,79
Andrew Bird,Lone Didion,Andrew Bird_Lone Didion.npy,80
Renaud,La ballade nord-irlandaise (Sur les motifs de _Water Is Deep_),Renaud_La ballade nord-irlandaise (Sur les motifs de _Water Is Deep_).npy,81
Sara Evans,No Place That Far,Sara Evans_No Place That Far.npy,82
Norman Connors,Once I_ve Been There,Norman Connors_Once I_ve Been There.npy,9
Bass Mekanik,Bass I Got,Bass Mekanik_Bass I Got.npy,83
Suzanne Ciani,Turning,Suzanne Ciani_Turning.npy,84
Nine Inch Nails,Hurt,Nine Inch Nails_Hurt.npy,85
Sun Ra,Lanquidity,Sun Ra_Lanquidity.npy,86
Harry Belafonte,Acorn In The Meadow,Harry Belafonte_Acorn In The Meadow.npy,23
Gustavo Cerati,Puente,Gustavo Cerati_Puente.npy,87
Otis Rush,I Can_t Quit You Baby,Otis Rush_I Can_t Quit You Baby.npy,88
Z-Ro,Can_t Leave Drank Alone,Z-Ro_Can_t Leave Drank Alone.npy,89
Carly Simon,That_s The Way I_ve Always Heard It Should Be,Carly Simon_That_s The Way I_ve Always Heard It Should Be.npy,90
Etta James,A Sunday Kind Of Love,Etta James_A Sunday Kind Of Love.npy,91
Eric Carmen,She Did It,Eric Carmen_She Did It.npy,92
Ana Belén,Peces de Ciudad,Ana Belén_Peces de Ciudad.npy,78
Pastor Troy,"Help Me, Rhonda","Pastor Troy_Help Me, Rhonda.npy",25
Tony Bennett,How Do You Keep The Music Playing,Tony Bennett_How Do You Keep The Music Playing.npy,93
Chelsea Wolfe,Whispers In The Echo Chamber,Chelsea Wolfe_Whispers In The Echo Chamber.npy,94
Dave Mason,"Let It Go, Let It Flow","Dave Mason_Let It Go, Let It Flow.npy",95
Colin James,Standin_ On The Edge,Colin James_Standin_ On The Edge.npy,96
Doja Cat,Boss Bitch,Doja Cat_Boss Bitch.npy,97
Thomas Newman,American Beauty,Thomas Newman_American Beauty.npy,98
Travis Tritt,T-R-O-U-B-L-E,Travis Tritt_T-R-O-U-B-L-E.npy,99
Gucci Mane,Swing My Door,Gucci Mane_Swing My Door.npy,100
City and Colour,Meant to Be,City and Colour_Meant to Be.npy,101
Plumb,Need You Now (How Many Times),Plumb_Need You Now (How Many Times).npy,102
Ani DiFranco,Gravel,Ani DiFranco_Gravel.npy,103
Kyary Pamyu Pamyu,Kimini 100 Percent,Kyary Pamyu Pamyu_Kimini 100 Percent.npy,104
Reverend Gary Davis,Death Don_t Have No Mercy,Reverend Gary Davis_Death Don_t Have No Mercy.npy,105
Roger Waters,Comfortably Numb 2022,Roger Waters_Comfortably Numb 2022.npy,59
Ace Frehley,New York Groove,Ace Frehley_New York Groove.npy,106
Whitney Houston,Greatest Love of All,Whitney Houston_Greatest Love of All.npy,107
Stacey Kent,You_ve Got A Friend,Stacey Kent_You_ve Got A Friend.npy,108
Rod Stewart,Sailing,Rod Stewart_Sailing.npy,109
Renaud,Dans mon H.L.M.,Renaud_Dans mon H.L.M..npy,81
Sufjan Stevens,Visions of Gideon,Sufjan Stevens_Visions of Gideon.npy,69
Shemekia Copeland,Married To The Blues,Shemekia Copeland_Married To The Blues.npy,110
Benny Goodman,Mack The Knife,Benny Goodman_Mack The Knife.npy,111
Christine Lavin,Air Conditioner,Christine Lavin_Air Conditioner.npy,8
Ron Pope,Our Song,Ron Pope_Our Song.npy,112
Tanya Tucker,What_s Your Mama_s Name,Tanya Tucker_What_s Your Mama_s Name.npy,113
Guy Sebastian,I Chose Good,Guy Sebastian_I Chose Good.npy,61
Tom Scott,Gotcha (Theme From  Starsky & Hutch ),Tom Scott_Gotcha (Theme From  Starsky & Hutch ).npy,114
Kyary Pamyu Pamyu,Yumeno Hajima Ring Ring,Kyary Pamyu Pamyu_Yumeno Hajima Ring Ring.npy,104
King Tubby,Jah Jah Dub,King Tubby_Jah Jah Dub.npy,115
Martina McBride,God_s Will,Martina McBride_God_s Will.npy,116
Melissa Ferrick,I Still Love You,Melissa Ferrick_I Still Love You.npy,117
Chris Brown,Next To You (Radio Edit),Chris Brown_Next To You (Radio Edit).npy,118
Plumb,Don_t Deserve You,Plumb_Don_t Deserve You.npy,102
LEA,Elefant,LEA_Elefant.npy,119
Coolio,"1, 2, 3, 4 (Sumpin_ New)","Coolio_1, 2, 3, 4 (Sumpin_ New).npy",120
Boosie Badazz,Type Shit,Boosie Badazz_Type Shit.npy,60
Víctor Manuelle,Qué Habría Sido de Mí,Víctor Manuelle_Qué Habría Sido de Mí.npy,121
Darin,Can_t Stop Love,Darin_Can_t Stop Love.npy,122
Joe Satriani,Cryin_,Joe Satriani_Cryin_.npy,123
Roger Waters,The Bravery of Being Out of Range,Roger Waters_The Bravery of Being Out of Range.npy,59
LEA,Parfum,LEA_Parfum.npy,119
Elliott Smith,Waltz #2 (XO),Elliott Smith_Waltz #2 (XO).npy,124
Regine Velasquez,You Are My Song,Regine Velasquez_You Are My Song.npy,125
Stefan Grossman,All My Friends Are Gone,Stefan Grossman_All My Friends Are Gone.npy,126
Alice Cooper,I_m Eighteen,Alice Cooper_I_m Eighteen.npy,127
Tom Petty,Runnin_ Down A Dream,Tom Petty_Runnin_ Down A Dream.npy,128
Kimbra,Human,Kimbra_Human.npy,129
MF DOOM,Beef Rap,MF DOOM_Beef Rap.npy,130
Tanya Tucker,Love Me Like You Used To,Tanya Tucker_Love Me Like You Used To.npy,113
엘리아나,Xô Preguiça,엘리아나_Xô Preguiça.npy,131
Willie Nelson,Whiskey River,Willie Nelson_Whiskey River.npy,132
Kevin Gates,It Won’t Happen,Kevin Gates_It Won’t Happen.npy,133
Julio Jaramillo,Reminiscencias,Julio Jaramillo_Reminiscencias.npy,134
Ke$ha,Backstabber,Ke$ha_Backstabber.npy,135
Christopher Lennertz,Score Suite From Pitch Perfect 3,Christopher Lennertz_Score Suite From Pitch Perfect 3.npy,136
Jeff Beck,Goodbye Pork Pie Hat,Jeff Beck_Goodbye Pork Pie Hat.npy,137
Janis Joplin,Move Over,Janis Joplin_Move Over.npy,138
Greg Brown,Spring Wind,Greg Brown_Spring Wind.npy,54
Elvin Bishop,Juke Joint Jump (Single Version),Elvin Bishop_Juke Joint Jump (Single Version).npy,27
Lisa Stansfield,The Real Thing,Lisa Stansfield_The Real Thing.npy,139
Ricky Van Shelton,Keep It Between The Lines,Ricky Van Shelton_Keep It Between The Lines.npy,12
Ron Sexsmith,Believe It When I See It,Ron Sexsmith_Believe It When I See It.npy,6
Paul Simon,You Can Call Me Al,Paul Simon_You Can Call Me Al.npy,140
Whitney Houston,I Have Nothing,Whitney Houston_I Have Nothing.npy,107
Hound Dog Taylor,Dust My Broom,Hound Dog Taylor_Dust My Broom.npy,141
Collin Raye,Love Remains,Collin Raye_Love Remains.npy,142
Guy Sebastian,Standing With You,Guy Sebastian_Standing With You.npy,61
Chaka Khan,I Feel for You,Chaka Khan_I Feel for You.npy,143
MF DOOM,Go With the Flow,MF DOOM_Go With the Flow.npy,130
Jackie Wilson,Lonely Teardrops,Jackie Wilson_Lonely Teardrops.npy,144
Laura Nyro,Save the Country,Laura Nyro_Save the Country.npy,145
Weird Al Yankovic,Tacky,_Weird Al_ Yankovic_Tacky.npy,146
Leo Kottke,Pamela Brown,Leo Kottke_Pamela Brown.npy,147
Clint Black,Burn One Down (1992 Version),Clint Black_Burn One Down (1992 Version).npy,148
Blind Willie Johnson,The Soul Of A Man,Blind Willie Johnson_The Soul Of A Man.npy,149
Samael,Rain,Samael_Rain.npy,150
Céline Dion,It_s All Coming Back to Me Now,Céline Dion_It_s All Coming Back to Me Now.npy,151
Waylon Jennings,Wild Ones,Waylon Jennings_Wild Ones.npy,152
Martina McBride,Independence Day,Martina McBride_Independence Day.npy,116
Bear McCreary,Raeb_s Lament,Bear McCreary_Raeb_s Lament.npy,153
Karla Bonoff,The Water Is Wide,Karla Bonoff_The Water Is Wide.npy,154
Алла Пугачёва,Старинные часы,Алла Пугачёва_Старинные часы.npy,30
Chet Atkins,Malaguena,Chet Atkins_Malaguena.npy,155
Leonard Cohen,Suzanne,Leonard Cohen_Suzanne.npy,63
Patrick Bruel,Alors regarde,Patrick Bruel_Alors regarde.npy,156
Buddy Guy,I Need You Tonight,Buddy Guy_I Need You Tonight.npy,157
Tori Amos,Cornflake Girl,Tori Amos_Cornflake Girl.npy,158
Jerry Rivera,Ese (Balada),Jerry Rivera_Ese (Balada).npy,74
Buddy Guy,One Room Country Shack,Buddy Guy_One Room Country Shack.npy,157
Leonard Cohen,Boogie Street,Leonard Cohen_Boogie Street.npy,63
Mac Dre,Since _84,Mac Dre_Since _84.npy,159
Colin Hay,You Saved Me from Myself (From _The Resident_ Season 2_),Colin Hay_You Saved Me from Myself (From _The Resident_ Season 2_).npy,50
Philip Glass,Truman Sleeps,Philip Glass_Truman Sleeps.npy,160
Stephin Merritt,"Listen, The Snow Is Falling","Stephin Merritt_Listen, The Snow Is Falling.npy",46
RuPaul,Glamazon,RuPaul_Glamazon.npy,18
Houston Person,Don_t Misunderstand,Houston Person_Don_t Misunderstand.npy,161
Eddy Arnold,Cowpoke,Eddy Arnold_Cowpoke.npy,162
Алсу,А у моей любви,Алсу_А у моей любви.npy,163
Melissa Horn,Säg förlåt,Melissa Horn_Säg förlåt.npy,164
Emmylou Harris,Wayfaring Stranger (2002 Remaster),Emmylou Harris_Wayfaring Stranger (2002 Remaster).npy,165
9th Wonder,LoveKills!!!,9th Wonder_LoveKills!!!.npy,166
Frank Boeijen,De Ontmoeting,Frank Boeijen_De Ontmoeting.npy,1
Nina Simone,I Put A Spell On You,Nina Simone_I Put A Spell On You.npy,167
Samael,Moonskin,Samael_Moonskin.npy,150
Marcia Ball,That_s Enough Of That Stuff,Marcia Ball_That_s Enough Of That Stuff.npy,168
Bill Staines,The Logging Song,Bill Staines_The Logging Song.npy,169
Emmylou Harris,Save the Last Dance for Me (2003 Remaster),Emmylou Harris_Save the Last Dance for Me (2003 Remaster).npy,165
John Gorka,Branching Out,John Gorka_Branching Out.npy,170
Future,I_M DAT N_,Future_I_M DAT N_.npy,79
Lil, Keke_Motion,Lil_ Keke_Motion.npy,71
Rev. Blind Gary Davis,This Train,Rev. Blind Gary Davis_This Train.npy,171
Alice Cooper,You and Me,Alice Cooper_You and Me.npy,127
Prince,I Wanna Be Your Lover,Prince_I Wanna Be Your Lover.npy,172
Louis Armstrong,What A Wonderful World,Louis Armstrong_What A Wonderful World.npy,173
RuPaul,Cake & Candy,RuPaul_Cake & Candy.npy,18
Sarah Fimm,White Birds,Sarah Fimm_White Birds.npy,174
George Jones,The Grand Tour (Single Version),George Jones_The Grand Tour (Single Version).npy,175
Frank Boeijen,Koud In Mijn Hart,Frank Boeijen_Koud In Mijn Hart.npy,1
Coolio,The Winner,Coolio_The Winner.npy,120
Ani DiFranco,Not a Pretty Girl,Ani DiFranco_Not a Pretty Girl.npy,103
Ke$ha,We R Who We R,Ke$ha_We R Who We R.npy,135
Yanni,Santorini,Yanni_Santorini.npy,176
Duke Robillard,Grey Sky Blues,Duke Robillard_Grey Sky Blues.npy,177
Kathy Troccoli,Stubborn Love,Kathy Troccoli_Stubborn Love.npy,178
Ellis Paul,"3,000 Miles","Ellis Paul_3,000 Miles.npy",48
Funky Destination,So Meme Ye,Funky Destination_So Meme Ye.npy,34
Patrick Bruel,Casser la voix,Patrick Bruel_Casser la voix.npy,156
Rodney Crowell,Bluebird Wine,Rodney Crowell_Bluebird Wine.npy,179
Koko Taylor,I_d Rather Go Blind,Koko Taylor_I_d Rather Go Blind.npy,180
Howard Shore,The Shire,Howard Shore_The Shire.npy,181
Алсу,Весна,Алсу_Весна.npy,163
Víctor Manuelle,Si Tú Me Besas,Víctor Manuelle_Si Tú Me Besas.npy,121
Jim Byrnes,No Special Rider,Jim Byrnes_No Special Rider.npy,32
Carole King,Where You Lead I Will Follow,Carole King_Where You Lead I Will Follow.npy,182
Iggy Pop,Strung Out Johnny,Iggy Pop_Strung Out Johnny.npy,183
Christine Lavin,The Kind Of Love You Never Recover From,Christine Lavin_The Kind Of Love You Never Recover From.npy,8
Paloma Faith,Picking Up the Pieces,Paloma Faith_Picking Up the Pieces.npy,184
Sun Ra,That’s How I Feel,Sun Ra_That’s How I Feel.npy,86
Todd Rundgren,Bang the Drum All Day,Todd Rundgren_Bang the Drum All Day.npy,185
Paul Davis,Love or Let Me Be Lonely,Paul Davis_Love or Let Me Be Lonely.npy,186
Ozzy Osbourne,Mr. Crowley,Ozzy Osbourne_Mr. Crowley.npy,187
Roger Whittaker,Albany (German Radio Version),Roger Whittaker_Albany (German Radio Version).npy,188
Pete Seeger,John Brown_s Body,Pete Seeger_John Brown_s Body.npy,189
Paul Winter,Lullaby From The Great Mother Whale For The Baby Seal Pups ,Paul Winter_Lullaby From The Great Mother Whale For The Baby Seal Pups (1).npy,190
Michael Jackson,Don_t Stop _Til You Get Enough,Michael Jackson_Don_t Stop _Til You Get Enough.npy,191
Paul Simon,Mother and Child Reunion,Paul Simon_Mother and Child Reunion.npy,140
Jo Dee Messina,That_s The Way,Jo Dee Messina_That_s The Way.npy,192
Nas,Made You Look,Nas_Made You Look.npy,193
Swum,Into the Forest,Swum_Into the Forest.npy,194
Jim Byrnes,Love and Happiness,Jim Byrnes_Love and Happiness.npy,32
Sharon Cuneta,Sana_y Wala Nang Wakas,Sharon Cuneta_Sana_y Wala Nang Wakas.npy,14
Plumb,Beautifully Broken,Plumb_Beautifully Broken.npy,102
Robert Charlebois,Lindberg !,Robert Charlebois_Lindberg !.npy,195
Kenny G,Songbird,Kenny G_Songbird.npy,196
Stacey Kent,Photograph,Stacey Kent_Photograph.npy,108
Michael W. Smith,Breathe,Michael W. Smith_Breathe.npy,197
Lonnie Brooks,Two Headed Man,Lonnie Brooks_Two Headed Man.npy,198
Joe Satriani,Summer Song,Joe Satriani_Summer Song.npy,123
Evelyn  Champagne  King,Back to Love,Evelyn  Champagne  King_Back to Love.npy,36
Buddy Guy,"Damn Right, I_ve Got the Blues","Buddy Guy_Damn Right, I_ve Got the Blues.npy",157
Banda Bassotti,El Pueblo Unido Jamas Será Vencido,Banda Bassotti_El Pueblo Unido Jamas Será Vencido.npy,199
Johnny Mathis,Misty,Johnny Mathis_Misty.npy,200
Martina McBride,In My Daughter_s Eyes,Martina McBride_In My Daughter_s Eyes.npy,116
Chuck Loeb,Sierra Nevada,Chuck Loeb_Sierra Nevada.npy,201
Nick Lowe,So It Goes,Nick Lowe_So It Goes.npy,11
Emmylou Harris,One of These Days,Emmylou Harris_One of These Days.npy,165
B! Machine,Stranger,B! Machine_Stranger.npy,202
Kenny Baker,Back Up And Push,Kenny Baker_Back Up And Push.npy,56
Hillbilly Hellcats,Hillbillies On Speed,Hillbilly Hellcats_Hillbillies On Speed.npy,203
Patty Loveless,How Can I Help You Say Goodbye,Patty Loveless_How Can I Help You Say Goodbye.npy,204
Kimbra,Save Me,Kimbra_Save Me.npy,129
Lonnie Brooks,Mr. Hot Shot,Lonnie Brooks_Mr. Hot Shot.npy,198
Jackie Edwards,Keep On Running,Jackie Edwards_Keep On Running.npy,205
Nas,The Message,Nas_The Message.npy,193
黃鶯鶯,回心轉意,黃鶯鶯_回心轉意.npy,64
Paul Davis,_65 Love Affair,Paul Davis__65 Love Affair.npy,186
Leona Lewis,I Got You,Leona Lewis_I Got You.npy,19
Colin Hay,Down Under (Acoustic Version),Colin Hay_Down Under (Acoustic Version).npy,50
Boosie Badazz,Set It Off,Boosie Badazz_Set It Off.npy,60
Billy Joel,Just the Way You Are,Billy Joel_Just the Way You Are.npy,206
Josh Groban,Aléjate,Josh Groban_Aléjate.npy,207
Dionne Warwick,Deja Vu,Dionne Warwick_Deja Vu.npy,208
Madlib,Slim_s Return,Madlib_Slim_s Return.npy,209
Gusttavo Lima,Bloqueado (Ao Vivo),Gusttavo Lima_Bloqueado (Ao Vivo).npy,210
Shawn Colvin,Get Out Of This House,Shawn Colvin_Get Out Of This House.npy,211
Алла Пугачёва,Приглашение на закат,Алла Пугачёва_Приглашение на закат.npy,30
Ke$ha,Die Young,Ke$ha_Die Young.npy,135
Kenny Loggins,Meet Me Half Way (From _Over The Top_ Soundtrack),Kenny Loggins_Meet Me Half Way (From _Over The Top_ Soundtrack).npy,212
James Taylor,How Sweet It Is (To Be Loved by You),James Taylor_How Sweet It Is (To Be Loved by You).npy,213
엘리아나,Comer Comer,엘리아나_Comer Comer.npy,131
Momus,The Sadness of Things,Momus_The Sadness of Things.npy,214
Evelyn  Champagne  King,I Can_t Stand It,Evelyn  Champagne  King_I Can_t Stand It.npy,36
Robert Pollard,Roofer_s Union Fight Song,Robert Pollard_Roofer_s Union Fight Song.npy,215
George Jones,Who_s Gonna Fill Their Shoes,George Jones_Who_s Gonna Fill Their Shoes.npy,175
Alice Cooper,School_s Out (2023 Remaster),Alice Cooper_School_s Out (2023 Remaster).npy,127
Taj Mahal,Checkin_ Up On My Baby,Taj Mahal_Checkin_ Up On My Baby.npy,216
Ramin Djawadi,The Last of the Starks,Ramin Djawadi_The Last of the Starks.npy,217
Ernest Ranglin,Soulful Moments,Ernest Ranglin_Soulful Moments.npy,55
Barry Manilow,Even Now,Barry Manilow_Even Now.npy,29
Buck Owens & His Buckaroos,Together Again,Buck Owens & His Buckaroos_Together Again.npy,218
Silly,Asyl im Paradies,Silly_Asyl im Paradies.npy,219
Perry Como,It_s Impossible,Perry Como_It_s Impossible.npy,3
Elvin Bishop,Sure Feels Good,Elvin Bishop_Sure Feels Good.npy,27
Evelyn  Champagne  King,Give It Up (7  Single Version),Evelyn  Champagne  King_Give It Up (7  Single Version).npy,36
Chris Isaak,Can_t Help Falling In Love,Chris Isaak_Can_t Help Falling In Love.npy,220
Lorenzo de Monteclaro,Abrazado de un Poste,Lorenzo de Monteclaro_Abrazado de un Poste.npy,221
Bruce Cockburn,The Coldest Night Of The Year,Bruce Cockburn_The Coldest Night Of The Year.npy,222
Bob Dylan,Girl from the North Country,Bob Dylan_Girl from the North Country.npy,223
Stacey Kent,So Nice,Stacey Kent_So Nice.npy,108
Matthew Sweet,Girlfriend,Matthew Sweet_Girlfriend.npy,2
Tom Scott,Shadows,Tom Scott_Shadows.npy,114
Nelly Omar,La descamisada,Nelly Omar_La descamisada.npy,49
Brian Crain,Canon in D (Bonus Track),Brian Crain_Canon in D (Bonus Track).npy,224
Matthew Dear,Monster,Matthew Dear_Monster.npy,225
LeAnn Rimes,Blue,LeAnn Rimes_Blue.npy,226
Momus,"I Want You, But I Don_t Need You","Momus_I Want You, But I Don_t Need You.npy",214
Carly Simon,You_re So Vain,Carly Simon_You_re So Vain.npy,90
Desert Dwellers,The Great Mystery,Desert Dwellers_The Great Mystery.npy,51
Rod Stewart,Forever Young,Rod Stewart_Forever Young.npy,109
Andrea Berg,"Seemann, deine Heimat ist das Meer","Andrea Berg_Seemann, deine Heimat ist das Meer.npy",52
Elliott Smith,Needle In The Hay,Elliott Smith_Needle In The Hay.npy,124
Michael Bolton,That_s What Love Is All About,Michael Bolton_That_s What Love Is All About.npy,227
KRS-One,A Friend,KRS-One_A Friend.npy,228
David Wilcox,Riverboat Fantasy,David Wilcox_Riverboat Fantasy.npy,229
Sarah Geronimo,Isa Pang Araw,Sarah Geronimo_Isa Pang Araw.npy,230
David Archuleta,Touch My Hand,David Archuleta_Touch My Hand.npy,231
Iggy Pop,Real Wild Child (Wild One),Iggy Pop_Real Wild Child (Wild One).npy,183
LeAnn Rimes,Can_t Fight The Moonlight,LeAnn Rimes_Can_t Fight The Moonlight.npy,226
Guy Sebastian,Before I Go,Guy Sebastian_Before I Go.npy,61
Paul Davis,(It Takes) Two To Tango,Paul Davis_(It Takes) Two To Tango.npy,186
Paul Davis,Somebody_s Gettin to You,Paul Davis_Somebody_s Gettin to You.npy,186
Paul Davis,Cool Night,Paul Davis_Cool Night.npy,186
Michael Jackson,Black or White,Michael Jackson_Black or White.npy,191
Gillian Welch,The Way It Goes,Gillian Welch_The Way It Goes.npy,232
Chris Botti,Back Into My Heart,Chris Botti_Back Into My Heart.npy,233
Ann Hampton Callaway,Let_s Fall In Love,Ann Hampton Callaway_Let_s Fall In Love.npy,234
Duke Ellington and His Orchestra,It Don_t Mean a Thing,Duke Ellington and His Orchestra_It Don_t Mean a Thing.npy,235
Liam Gallagher,Stand By Me (Acoustic),Liam Gallagher_Stand By Me (Acoustic).npy,236
Hound Dog Taylor,Ain_t Got Nobody,Hound Dog Taylor_Ain_t Got Nobody.npy,141
Pedro The Lion,Quietest Friend,Pedro The Lion_Quietest Friend.npy,237
